Frame,time,x_cordinate,y_cordinate,Speed_X,Speed_Y
1,0.0,400,306,6,6
2,0.38,400,312,6,6
3,0.43,400,318,6,6
4,0.48,400,324,6,6
5,0.53,400,330,6,6
6,0.58,400,336,6,6
7,0.63,400,342,6,6
8,0.68,400,348,6,6
9,0.73,400,354,6,6
10,0.78,400,360,6,6
11,0.83,400,366,6,6
12,0.88,400,372,6,6
13,0.93,400,378,6,6
14,0.98,400,384,6,6
15,1.03,400,390,6,6
16,1.08,400,396,6,6
17,1.13,400,402,6,6
18,1.18,400,408,6,6
19,1.23,400,414,6,6
20,1.28,400,420,6,6
21,1.33,400,426,6,6
22,1.38,400,432,6,6
23,1.43,400,438,6,6
24,1.49,400,444,6,6
25,1.54,400,450,6,6
26,1.59,400,456,6,6
27,1.64,400,462,6,6
28,1.69,400,468,6,6
29,1.74,400,474,6,6
30,1.79,400,480,6,6
31,1.84,400,486,6,6
32,1.89,400,492,6,6
33,1.94,400,498,6,6
34,1.99,400,504,6,6
35,2.04,400,510,6,6
36,2.09,400,516,6,6
37,2.14,400,522,6,6
38,2.19,400,528,6,6
39,2.24,400,534,6,6
40,2.29,400,540,6,6
41,2.34,400,546,6,6
42,2.39,400,552,6,6
43,2.44,400,558,6,6
44,2.5,400,564,6,6
45,2.55,400,570,6,6
46,2.6,400,576,6,6
47,2.65,400,582,6,6
48,2.7,400,588,6,6
49,2.75,400,594,6,6
50,2.8,400,600,6,6
51,2.85,400,606,6,6
52,2.9,400,612,6,6
53,2.95,400,618,6,6
54,3.0,400,624,6,6
55,3.05,400,630,6,6
56,3.1,400,636,6,6
57,3.15,400,642,6,6
58,3.2,400,648,6,6
59,3.25,400,654,6,6
60,3.3,400,660,6,6
61,3.36,400,666,6,6
62,3.41,400,672,6,6
63,3.46,400,678,6,6
64,3.51,400,684,6,6
65,3.56,400,690,6,6
66,3.61,400,696,6,6
67,3.66,400,702,6,6
68,3.71,400,708,6,6
69,3.76,400,714,6,6
70,3.81,400,720,6,6
71,3.86,400,726,6,6
72,3.91,400,732,6,6
73,3.96,400,738,6,6
74,4.01,400,744,6,6
75,4.07,400,750,6,6
76,4.12,400,756,6,6
77,4.17,400,762,6,6
78,4.22,400,768,6,6
79,4.27,400,774,6,6
80,4.32,400,780,6,6
81,4.37,400,786,6,6
82,4.42,400,792,6,6
83,4.47,400,798,6,6
84,4.52,400,804,6,6
85,4.57,400,810,6,6
86,4.62,400,816,6,6
87,4.67,400,822,6,6
88,4.72,400,828,6,6
89,4.77,400,834,6,6
90,4.82,400,840,6,6
91,4.88,400,846,6,6
92,4.93,400,852,6,6
93,4.98,400,858,6,6
94,5.03,400,864,6,6
95,5.08,400,870,6,6
96,5.13,400,876,6,6
97,5.18,400,882,6,6
98,5.23,400,888,6,6
99,5.28,400,894,6,6
100,5.33,400,900,6,6
101,5.38,400,906,6,6
102,5.43,400,912,6,6
103,5.48,400,918,6,6
104,5.53,400,924,6,6
105,5.59,400,930,6,6
106,5.64,400,936,6,6
107,5.69,400,942,6,6
108,5.74,400,948,6,6
109,5.79,400,954,6,6
110,5.84,400,960,6,6
111,5.89,400,966,6,6
112,5.94,400,972,6,6
113,5.99,400,978,6,6
114,6.04,400,984,6,6
115,6.09,400,990,6,6
116,6.14,400,996,6,6
117,6.19,400,1002,6,6
118,6.24,400,1008,6,6
119,6.3,400,1014,6,6
120,6.35,400,1020,6,6
121,6.4,400,1026,6,6
122,6.45,400,1032,6,6
123,6.5,400,1038,6,6
124,6.55,400,1044,6,6
125,6.6,400,1050,6,6
126,6.65,400,1056,6,6
127,6.7,400,1062,6,6
128,6.75,400,1068,6,6
129,6.81,400,1074,6,6
130,6.86,400,1080,6,6
131,6.91,400,1086,6,6
132,6.96,400,1092,6,6
133,7.01,400,1098,6,6
134,7.06,400,1104,6,6
135,7.11,400,1110,6,6
136,7.16,400,1116,6,6
137,7.21,400,1122,6,6
138,7.26,400,1128,6,6
139,7.31,400,1134,6,6
140,7.37,400,1140,6,6
141,7.42,400,1146,6,6
142,7.47,400,1152,6,6
143,7.52,400,1158,6,6
144,7.57,400,1164,6,6
145,7.62,400,1170,6,6
146,7.67,400,1176,6,6
147,7.72,400,1182,6,6
148,7.77,400,1188,6,6
149,7.82,400,1194,6,6
150,7.87,400,1200,6,6
151,7.93,400,1206,6,6
152,7.98,400,1212,6,6
153,8.03,400,1218,6,6
154,8.08,400,1224,6,6
155,8.13,400,1230,6,6
156,8.18,400,1236,6,6
157,8.23,400,1242,6,6
158,8.28,400,1248,6,6
159,8.33,400,1254,6,6
160,8.38,400,1260,6,6
161,8.43,400,1266,6,6
162,8.49,400,1272,6,6
163,8.54,400,1278,6,6
164,8.59,400,1284,6,6
165,8.64,400,1290,6,6
166,8.69,400,1296,6,6
167,8.74,400,1302,6,6
168,8.79,400,1308,6,6
169,8.84,716,1314,6,-6
170,8.89,716,1308,6,-6
171,8.94,716,1302,6,-6
172,8.99,716,1296,6,-6
173,9.04,716,1290,6,-6
174,9.09,716,1284,6,-6
175,9.14,716,1278,6,-6
176,9.19,716,1272,6,-6
177,9.24,716,1266,6,-6
178,9.29,716,1260,6,-6
179,9.34,716,1254,6,-6
180,9.4,716,1248,6,-6
181,9.45,716,1242,6,-6
182,9.5,716,1236,6,-6
183,9.55,716,1230,6,-6
184,9.6,716,1224,6,-6
185,9.65,716,1218,6,-6
186,9.7,716,1212,6,-6
187,9.75,716,1206,6,-6
188,9.8,716,1200,6,-6
189,9.85,716,1194,6,-6
190,9.9,716,1188,6,-6
191,9.95,716,1182,6,-6
192,10.0,716,1176,6,-6
193,10.05,716,1170,6,-6
194,10.1,716,1164,6,-6
195,10.15,716,1158,6,-6
196,10.2,716,1152,6,-6
197,10.26,716,1146,6,-6
198,10.31,716,1140,6,-6
199,10.36,716,1134,6,-6
200,10.41,716,1128,6,-6
201,10.46,716,1122,6,-6
202,10.51,716,1116,6,-6
203,10.56,716,1110,6,-6
204,10.61,716,1104,6,-6
205,10.66,716,1098,6,-6
206,10.71,716,1092,6,-6
207,10.76,716,1086,6,-6
208,10.81,716,1080,6,-6
209,10.86,716,1074,6,-6
210,10.91,716,1068,6,-6
211,10.96,716,1062,6,-6
212,11.01,716,1056,6,-6
213,11.06,716,1050,6,-6
214,11.11,716,1044,6,-6
215,11.16,716,1038,6,-6
216,11.21,716,1032,6,-6
217,11.26,716,1026,6,-6
218,11.32,716,1020,6,-6
219,11.37,716,1014,6,-6
220,11.42,716,1008,6,-6
221,11.47,716,1002,6,-6
222,11.52,716,996,6,-6
223,11.57,716,990,6,-6
224,11.62,716,984,6,-6
225,11.67,716,978,6,-6
226,11.72,716,972,6,-6
227,11.77,716,966,6,-6
228,11.82,716,960,6,-6
229,11.87,716,954,6,-6
230,11.92,716,948,6,-6
231,11.97,716,942,6,-6
232,12.02,716,936,6,-6
233,12.07,716,930,6,-6
234,12.12,716,924,6,-6
235,12.17,716,918,6,-6
236,12.23,716,912,6,-6
237,12.28,716,906,6,-6
238,12.33,716,900,6,-6
239,12.38,716,894,6,-6
240,12.43,716,888,6,-6
241,12.48,716,882,6,-6
242,12.53,716,876,6,-6
243,12.58,716,870,6,-6
244,12.63,716,864,6,-6
245,12.68,716,858,6,-6
246,12.73,716,852,6,-6
247,12.78,716,846,6,-6
248,12.83,716,840,6,-6
249,12.88,716,834,6,-6
250,12.93,716,828,6,-6
251,12.98,716,822,6,-6
252,13.03,716,816,6,-6
253,13.08,716,810,6,-6
254,13.14,716,804,6,-6
255,13.19,716,798,6,-6
256,13.24,716,792,6,-6
257,13.29,716,786,6,-6
258,13.34,716,780,6,-6
259,13.39,716,774,6,-6
260,13.44,716,768,6,-6
261,13.49,716,762,6,-6
262,13.54,716,756,6,-6
263,13.59,716,750,6,-6
264,13.64,716,744,6,-6
265,13.7,716,738,6,-6
266,13.75,716,732,6,-6
267,13.8,716,726,6,-6
268,13.85,716,720,6,-6
269,13.9,716,714,6,-6
270,13.95,716,708,6,-6
271,14.0,716,702,6,-6
272,14.05,716,696,6,-6
273,14.1,716,690,6,-6
274,14.15,716,684,6,-6
275,14.2,716,678,6,-6
276,14.25,716,672,6,-6
277,14.3,716,666,6,-6
278,14.35,716,660,6,-6
279,14.4,716,654,6,-6
280,14.45,716,648,6,-6
281,14.5,716,642,6,-6
282,14.55,716,636,6,-6
283,14.6,716,630,6,-6
284,14.65,716,624,6,-6
285,14.7,716,618,6,-6
286,14.76,716,612,6,-6
287,14.81,716,606,6,-6
288,14.86,716,600,6,-6
289,14.91,716,594,6,-6
290,14.96,716,588,6,-6
291,15.01,716,582,6,-6
292,15.06,716,576,6,-6
293,15.11,716,570,6,-6
294,15.16,716,564,6,-6
295,15.21,716,558,6,-6
296,15.26,716,552,6,-6
297,15.31,716,546,6,-6
298,15.36,716,540,6,-6
299,15.42,716,534,6,-6
300,15.47,716,528,6,-6
301,15.52,716,522,6,-6
302,15.57,716,516,6,-6
303,15.62,716,510,6,-6
304,15.67,716,504,6,-6
305,15.72,716,498,6,-6
306,15.77,716,492,6,-6
307,15.82,716,486,6,-6
308,15.87,716,480,6,-6
309,15.92,716,474,6,-6
310,15.97,716,468,6,-6
311,16.02,716,462,6,-6
312,16.08,716,456,6,-6
313,16.13,716,450,6,-6
314,16.18,716,444,6,-6
315,16.23,716,438,6,-6
316,16.28,716,432,6,-6
317,16.33,716,426,6,-6
318,16.38,716,420,6,-6
319,16.43,716,414,6,-6
320,16.48,716,408,6,-6
321,16.53,716,402,6,-6
322,16.58,716,396,6,-6
323,16.63,716,390,6,-6
324,16.68,716,384,6,-6
325,16.73,716,378,6,-6
326,16.78,716,372,6,-6
327,16.83,716,366,6,-6
328,16.89,716,360,6,-6
329,16.93,716,354,6,-6
330,16.98,716,348,6,-6
331,17.04,716,342,6,-6
332,17.09,716,336,6,-6
333,17.14,716,330,6,-6
334,17.19,716,324,6,-6
335,17.24,716,318,6,-6
336,17.29,716,312,6,-6
337,17.34,716,306,6,-6
338,17.39,716,300,6,-6
339,17.44,716,294,6,-6
340,17.49,716,288,6,-6
341,17.54,716,282,6,-6
342,17.59,716,276,6,-6
343,17.64,716,270,6,-6
344,17.69,716,264,6,-6
345,17.75,716,258,6,-6
346,17.8,716,252,6,-6
347,17.85,716,246,6,-6
348,17.9,716,240,6,-6
349,17.95,716,234,6,-6
350,18.0,716,228,6,-6
351,18.05,716,222,6,-6
352,18.1,716,216,6,-6
353,18.15,716,210,6,-6
354,18.2,716,204,6,-6
355,18.25,716,198,6,-6
356,18.3,716,192,6,-6
357,18.35,716,186,6,-6
358,18.41,716,180,6,-6
359,18.46,716,174,6,-6
360,18.51,716,168,6,-6
361,18.56,716,162,6,-6
362,18.61,716,156,6,-6
363,18.66,716,150,6,-6
364,18.71,716,144,6,-6
365,18.76,716,138,6,-6
366,18.81,716,132,6,-6
367,18.86,716,126,6,-6
368,18.91,716,120,6,-6
369,18.96,716,114,6,-6
370,19.01,716,108,6,-6
371,19.07,716,102,6,-6
372,19.12,716,96,6,-6
373,19.17,716,90,6,-6
374,19.22,716,84,6,-6
375,19.27,716,78,6,-6
376,19.32,716,72,6,-6
377,19.37,716,66,6,-6
378,19.42,716,60,6,-6
379,19.47,716,54,6,-6
380,19.52,716,48,6,-6
381,19.57,716,42,6,-6
382,19.62,716,36,6,-6
383,19.67,716,30,6,-6
384,19.72,716,24,6,-6
385,19.78,716,18,6,-6
386,19.83,716,12,6,-6
387,19.88,716,6,6,-6
388,19.93,1025,0,6,6
389,19.98,1025,6,6,6
