time,x_cordinate,y_cordinate,Speed_X,Speed_Y
0.0,401,301,1,1
0.4,402,302,1,1
0.42,403,303,1,1
0.44,404,304,1,1
0.47,405,305,1,1
0.51,406,306,1,1
0.54,407,307,1,1
0.57,408,308,1,1
0.61,409,309,1,1
0.64,410,310,1,1
0.67,411,311,1,1
0.7,412,312,1,1
0.75,413,313,1,1
0.78,414,314,1,1
0.81,415,315,1,1
0.84,416,316,1,1
0.88,417,317,1,1
0.91,418,318,1,1
0.94,419,319,1,1
0.97,420,320,1,1
1.0,421,321,1,1
1.04,422,322,1,1
1.07,423,323,1,1
1.1,424,324,1,1
1.15,425,325,1,1
1.18,426,326,1,1
1.21,427,327,1,1
1.24,428,328,1,1
1.27,429,329,1,1
1.31,430,330,1,1
1.33,431,331,1,1
1.37,432,332,1,1
1.4,433,333,1,1
1.44,434,334,1,1
1.47,435,335,1,1
1.5,436,336,1,1
1.55,437,337,1,1
1.58,438,338,1,1
1.61,439,339,1,1
1.64,440,340,1,1
1.68,441,341,1,1
1.71,442,342,1,1
1.74,443,343,1,1
1.77,444,344,1,1
1.8,445,345,1,1
1.84,446,346,1,1
1.87,447,347,1,1
1.9,448,348,1,1
1.95,449,349,1,1
1.98,450,350,1,1
2.01,451,351,1,1
2.04,452,352,1,1
2.08,453,353,1,1
2.11,454,354,1,1
2.14,455,355,1,1
2.17,456,356,1,1
2.2,457,357,1,1
2.24,458,358,1,1
2.27,459,359,1,1
2.3,460,360,1,1
2.35,461,361,1,1
2.38,462,362,1,1
2.41,463,363,1,1
2.44,464,364,1,1
2.48,465,365,1,1
2.51,466,366,1,1
2.54,467,367,1,1
2.57,468,368,1,1
2.6,469,369,1,1
2.64,470,370,1,1
2.67,471,371,1,1
2.7,472,372,1,1
2.75,473,373,1,1
2.78,474,374,1,1
2.81,475,375,1,1
2.85,476,376,1,1
2.88,477,377,1,1
2.91,478,378,1,1
2.95,479,379,1,1
2.97,480,380,1,1
3.0,481,381,1,1
3.03,482,382,1,1
3.07,483,383,1,1
3.1,484,384,1,1
3.15,485,385,1,1
3.18,486,386,1,1
3.21,487,387,1,1
3.25,488,388,1,1
3.28,489,389,1,1
3.31,490,390,1,1
3.34,491,391,1,1
3.37,492,392,1,1
3.4,493,393,1,1
3.43,494,394,1,1
3.47,495,395,1,1
3.5,496,396,1,1
3.55,497,397,1,1
3.58,498,398,1,1
3.61,499,399,1,1
3.65,500,400,1,1
3.68,501,401,1,1
3.71,502,402,1,1
3.75,503,403,1,1
3.77,504,404,1,1
3.8,505,405,1,1
3.84,506,406,1,1
3.87,507,407,1,1
3.9,508,408,1,1
3.95,509,409,1,1
3.98,510,410,1,1
4.02,511,411,1,1
4.05,512,412,1,1
4.08,513,413,1,1
4.11,514,414,1,1
4.15,515,415,1,1
4.17,516,416,1,1
4.2,517,417,1,1
4.23,518,418,1,1
4.27,519,419,1,1
4.3,520,420,1,1
4.35,521,421,1,1
4.38,522,422,1,1
4.42,523,423,1,1
4.45,524,424,1,1
4.48,525,425,1,1
4.52,526,426,1,1
4.55,527,427,1,1
4.57,528,428,1,1
4.61,529,429,1,1
4.63,530,430,1,1
4.67,531,431,1,1
4.7,532,432,1,1
4.75,533,433,1,1
4.78,534,434,1,1
4.81,535,435,1,1
4.85,536,436,1,1
4.88,537,437,1,1
4.91,538,438,1,1
4.94,539,439,1,1
4.97,540,440,1,1
5.0,541,441,1,1
5.04,542,442,1,1
5.07,543,443,1,1
5.1,544,444,1,1
5.15,545,445,1,1
5.18,546,446,1,1
5.22,547,447,1,1
5.25,548,448,1,1
5.28,549,449,1,1
5.31,550,450,1,1
5.34,551,451,1,1
5.37,552,452,1,1
5.41,553,453,1,1
5.44,554,454,1,1
5.47,555,455,1,1
5.5,556,456,1,1
5.55,557,457,1,1
5.59,558,458,1,1
5.62,559,459,1,1
5.65,560,460,1,1
5.68,561,461,1,1
5.71,562,462,1,1
5.74,563,463,1,1
5.77,564,464,1,1
5.8,565,465,1,1
5.84,566,466,1,1
5.87,567,467,1,1
5.9,568,468,1,1
5.95,569,469,1,1
5.98,570,470,1,1
6.02,571,471,1,1
6.05,572,472,1,1
6.08,573,473,1,1
6.1,574,474,1,1
6.14,575,475,1,1
6.17,576,476,1,1
6.21,577,477,1,1
6.24,578,478,1,1
6.27,579,479,1,1
6.3,580,480,1,1
6.35,581,481,1,1
6.38,582,482,1,1
6.42,583,483,1,1
6.44,584,484,1,1
6.48,585,485,1,1
6.52,586,486,1,1
6.55,587,487,1,1
6.58,588,488,1,1
6.62,589,489,1,1
6.65,590,490,1,1
6.67,591,491,1,1
6.7,592,492,1,1
6.75,593,493,1,1
6.79,594,494,1,1
6.82,595,495,1,1
6.84,596,496,1,1
6.88,597,497,1,1
6.92,598,498,1,1
6.94,599,499,1,1
6.97,600,500,1,1
7.0,601,501,1,1
7.03,602,502,1,1
7.07,603,503,1,1
7.1,604,504,1,1
7.15,605,505,1,1
7.18,606,506,1,1
7.22,607,507,1,1
7.25,608,508,1,1
7.29,609,509,1,1
7.31,610,510,1,1
7.35,611,511,1,1
7.38,612,512,1,1
7.42,613,513,1,1
7.45,614,514,1,1
7.48,615,515,1,1
7.51,616,516,1,1
7.55,617,517,1,1
7.6,618,518,1,1
7.62,619,519,1,1
7.65,620,520,1,1
7.68,621,521,1,1
7.72,622,522,1,1
7.75,623,523,1,1
7.78,624,524,1,1
7.8,625,525,1,1
7.84,626,526,1,1
7.87,627,527,1,1
7.9,628,528,1,1
7.96,629,529,1,1
7.99,630,530,1,1
8.02,631,531,1,1
8.05,632,532,1,1
8.08,633,533,1,1
8.12,634,534,1,1
8.15,635,535,1,1
8.18,636,536,1,1
8.21,637,537,1,1
8.24,638,538,1,1
8.27,639,539,1,1
8.3,640,540,1,1
8.35,641,541,1,1
8.39,642,542,1,1
8.42,643,543,1,1
8.45,644,544,1,1
8.47,645,545,1,1
8.51,646,546,1,1
8.54,647,547,1,1
8.57,648,548,1,1
8.61,649,549,1,1
8.64,650,550,1,1
8.67,651,551,1,1
8.7,652,552,1,1
8.75,653,553,1,1
8.78,654,554,1,1
8.82,655,555,1,1
8.85,656,556,1,1
8.88,657,557,1,1
8.91,658,558,1,1
8.94,659,559,1,1
8.97,660,560,1,1
9.0,661,561,1,1
9.04,662,562,1,1
9.07,663,563,1,1
9.11,664,564,1,1
9.15,665,565,1,1
9.19,666,566,1,1
9.22,667,567,1,1
9.25,668,568,1,1
9.28,669,569,1,1
9.31,670,570,1,1
9.34,671,571,1,1
9.37,672,572,1,1
9.4,673,573,1,1
9.44,674,574,1,1
9.47,675,575,1,1
9.5,676,576,1,1
9.55,677,577,1,1
9.59,678,578,1,1
9.62,679,579,1,1
9.65,680,580,1,1
9.68,681,581,1,1
9.71,682,582,1,1
9.74,683,583,1,1
9.77,684,584,1,1
9.81,685,585,1,1
9.84,686,586,1,1
9.87,687,587,1,1
9.91,688,588,1,1
9.95,689,589,1,1
9.99,690,590,1,1
10.02,691,591,1,1
10.04,692,592,1,1
10.07,693,593,1,1
10.11,694,594,1,1
10.14,695,595,1,1
10.17,696,596,1,1
10.2,697,597,1,1
10.24,698,598,1,1
10.27,699,599,1,1
10.3,700,600,1,1
10.35,701,601,1,1
10.39,702,602,1,1
10.41,703,603,1,1
10.44,704,604,1,1
10.47,705,605,1,1
10.51,706,606,1,1
10.54,707,607,1,1
10.57,708,608,1,1
10.6,709,609,1,1
10.64,710,610,1,1
10.67,711,611,1,1
10.7,712,612,1,1
10.75,713,613,1,1
10.78,714,614,1,1
10.81,715,615,1,1
10.85,716,616,1,1
10.88,717,617,1,1
10.91,718,618,1,1
10.94,719,619,1,1
10.97,720,620,1,1
11.0,721,621,1,1
11.04,722,622,1,1
11.07,723,623,1,1
11.1,724,624,1,1
11.15,725,625,1,1
11.19,726,626,1,1
11.21,727,627,1,1
11.24,728,628,1,1
11.28,729,629,1,1
11.31,730,630,1,1
11.34,731,631,1,1
11.37,732,632,1,1
11.4,733,633,1,1
11.44,734,634,1,1
11.47,735,635,1,1
11.51,736,636,1,1
11.55,737,637,1,1
11.58,738,638,1,1
11.61,739,639,1,1
11.64,740,640,1,1
11.67,741,641,1,1
11.71,742,642,1,1
11.74,743,643,1,1
11.77,744,644,1,1
11.8,745,645,1,1
11.84,746,646,1,1
11.87,747,647,1,1
11.9,748,648,1,1
11.95,749,649,1,1
11.99,750,650,1,1
12.01,751,651,1,1
12.05,752,652,1,1
12.08,753,653,1,1
12.11,754,654,1,1
12.14,755,655,1,1
12.17,756,656,1,1
12.21,757,657,1,1
12.24,758,658,1,1
12.27,759,659,1,1
12.31,760,660,1,1
12.36,761,661,1,1
12.39,762,662,1,1
12.42,763,663,1,1
12.45,764,664,1,1
12.49,765,665,1,1
12.51,766,666,1,1
12.54,767,667,1,1
12.57,768,668,1,1
12.61,769,669,1,1
12.64,770,670,1,1
12.67,771,671,1,1
12.7,772,672,1,1
12.75,773,673,1,1
12.79,774,674,1,1
12.82,775,675,1,1
12.85,776,676,1,1
12.89,777,677,1,1
12.92,778,678,1,1
12.95,779,679,1,1
12.97,780,680,1,1
13.01,781,681,1,1
13.05,782,682,1,1
13.07,783,683,1,1
13.11,784,684,1,1
13.16,785,685,1,1
13.19,786,686,1,1
13.22,787,687,1,1
13.24,788,688,1,1
13.28,789,689,1,1
13.31,790,690,1,1
13.34,791,691,1,1
13.38,792,692,1,1
13.41,793,693,1,1
13.44,794,694,1,1
13.47,795,695,1,1
13.51,796,696,1,1
13.55,797,697,1,1
13.59,798,698,1,1
13.62,799,699,1,1
13.65,800,700,1,1
13.68,801,701,1,1
13.71,802,702,1,1
13.74,803,703,1,1
13.77,804,704,1,1
13.81,805,705,1,1
13.84,806,706,1,1
13.87,807,707,1,1
13.91,808,708,1,1
13.96,809,709,1,1
13.98,810,710,1,1
14.01,811,711,1,1
14.04,812,712,1,1
14.08,813,713,1,1
14.11,814,714,1,1
14.14,815,715,1,1
14.18,816,716,1,1
14.21,817,717,1,1
14.24,818,718,1,1
14.27,819,719,1,1
14.31,820,720,1,1
14.36,821,721,1,1
14.39,822,722,1,1
14.42,823,723,1,1
14.44,824,724,1,1
14.48,825,725,1,1
14.51,826,726,1,1
14.54,827,727,1,1
14.58,828,728,1,1
14.61,829,729,1,1
14.64,830,730,1,1
14.67,831,731,1,1
14.7,832,732,1,1
14.74,833,733,1,1
14.78,834,734,1,1
14.81,835,735,1,1
14.84,836,736,1,1
14.88,837,737,1,1
14.91,838,738,1,1
14.94,839,739,1,1
14.98,840,740,1,1
15.01,841,741,1,1
15.04,842,742,1,1
15.07,843,743,1,1
15.11,844,744,1,1
15.16,845,745,1,1
15.18,846,746,1,1
15.21,847,747,1,1
15.25,848,748,1,1
15.27,849,749,1,1
15.31,850,750,1,1
15.34,851,751,1,1
15.38,852,752,1,1
15.41,853,753,1,1
15.44,854,754,1,1
15.47,855,755,1,1
15.51,856,756,1,1
15.56,857,757,1,1
15.58,858,758,1,1
15.61,859,759,1,1
15.65,860,760,1,1
15.68,861,761,1,1
15.71,862,762,1,1
15.74,863,763,1,1
15.78,864,764,1,1
15.81,865,765,1,1
15.84,866,766,1,1
15.88,867,767,1,1
15.9,868,768,1,1
15.95,869,769,1,1
15.98,870,770,1,1
16.01,871,771,1,1
16.04,872,772,1,1
16.07,873,773,1,1
16.11,874,774,1,1
16.14,875,775,1,1
16.18,876,776,1,1
16.21,877,777,1,1
16.24,878,778,1,1
16.28,879,779,1,1
16.31,880,780,1,1
16.35,881,781,1,1
16.38,882,782,1,1
16.41,883,783,1,1
16.44,884,784,1,1
16.48,885,785,1,1
16.51,886,786,1,1
16.54,887,787,1,1
16.58,888,788,1,1
16.61,889,789,1,1
16.64,890,790,1,1
16.67,891,791,1,1
16.71,892,792,1,1
16.75,893,793,1,1
16.78,894,794,1,1
16.81,895,795,1,1
16.85,896,796,1,1
16.88,897,797,1,1
16.91,898,798,1,1
16.94,899,799,1,1
16.98,900,800,1,1
17.01,901,801,1,1
17.04,902,802,1,1
17.07,903,803,1,1
17.11,904,804,1,1
17.15,905,805,1,1
17.18,906,806,1,1
17.21,907,807,1,1
17.25,908,808,1,1
17.28,909,809,1,1
17.31,910,810,1,1
17.34,911,811,1,1
17.38,912,812,1,1
17.41,913,813,1,1
17.44,914,814,1,1
17.47,915,815,1,1
17.5,916,816,1,1
17.55,917,817,1,1
17.58,918,818,1,1
17.61,919,819,1,1
17.64,920,820,1,1
17.68,921,821,1,1
17.71,922,822,1,1
17.74,923,823,1,1
17.78,924,824,1,1
17.81,925,825,1,1
17.84,926,826,1,1
17.88,927,827,1,1
17.9,928,828,1,1
17.95,929,829,1,1
17.98,930,830,1,1
18.01,931,831,1,1
18.04,932,832,1,1
18.08,933,833,1,1
18.11,934,834,1,1
18.14,935,835,1,1
18.18,936,836,1,1
18.21,937,837,1,1
18.24,938,838,1,1
18.27,939,839,1,1
18.3,940,840,1,1
18.35,941,841,1,1
18.38,942,842,1,1
18.41,943,843,1,1
18.45,944,844,1,1
18.48,945,845,1,1
18.51,946,846,1,1
18.54,947,847,1,1
18.57,948,848,1,1
18.61,949,849,1,1
18.64,950,850,1,1
18.67,951,851,1,1
18.7,952,852,1,1
18.75,953,853,1,1
18.78,954,854,1,1
18.81,955,855,1,1
18.85,956,856,1,1
18.88,957,857,1,1
18.91,958,858,1,1
18.95,959,859,1,1
18.98,960,860,1,1
19.01,961,861,1,1
19.04,962,862,1,1
19.08,963,863,1,1
19.11,964,864,1,1
19.15,965,865,1,1
19.18,966,866,1,1
19.21,967,867,1,1
19.25,968,868,1,1
19.28,969,869,1,1
19.31,970,870,1,1
19.35,971,871,1,1
19.38,972,872,1,1
19.41,973,873,1,1
19.44,974,874,1,1
19.48,975,875,1,1
19.5,976,876,1,1
19.54,977,877,1,1
19.58,978,878,1,1
19.61,979,879,1,1
19.65,980,880,1,1
19.68,981,881,1,1
19.71,982,882,1,1
19.76,983,883,1,1
19.78,984,884,1,1
19.81,985,885,1,1
19.83,986,886,1,1
19.87,987,887,1,1
19.9,988,888,1,1
19.95,989,889,1,1
19.98,990,890,1,1
20.01,991,891,1,1
20.05,992,892,1,1
20.08,993,893,1,1
20.11,994,894,1,1
20.15,995,895,1,1
20.18,996,896,1,1
20.21,997,897,1,1
20.24,998,898,1,1
20.27,999,899,1,1
20.3,1000,900,1,1
20.35,1001,901,1,1
20.38,1002,902,1,1
20.41,1003,903,1,1
20.45,1004,904,1,1
20.48,1005,905,1,1
20.53,1006,906,1,1
20.55,1007,907,1,1
20.58,1008,908,1,1
20.62,1009,909,1,1
20.64,1010,910,1,1
20.67,1011,911,1,1
20.7,1012,912,1,1
20.75,1013,913,1,1
20.78,1014,914,1,1
20.81,1015,915,1,1
20.85,1016,916,1,1
20.88,1017,917,1,1
20.91,1018,918,1,1
20.95,1019,919,1,1
20.98,1020,920,1,1
21.01,1021,921,1,1
21.04,1022,922,1,1
21.08,1023,923,1,1
21.1,1024,924,1,1
21.15,1025,925,1,1
21.18,1026,926,1,1
21.21,1027,927,1,1
21.25,1028,928,1,1
21.28,1029,929,1,1
21.31,1030,930,1,1
21.35,1031,931,1,1
21.38,1032,932,1,1
21.41,1033,933,1,1
21.43,1034,934,1,1
21.46,1035,935,1,1
21.5,1036,936,1,1
21.55,1037,937,1,1
21.58,1038,938,1,1
21.61,1039,939,1,1
21.65,1040,940,1,1
21.69,1041,941,1,1
21.71,1042,942,1,1
21.74,1043,943,1,1
21.77,1044,944,1,1
21.8,1045,945,1,1
21.83,1046,946,1,1
21.87,1047,947,1,1
21.9,1048,948,1,1
21.95,1049,949,1,1
21.98,1050,950,1,1
22.01,1051,951,1,1
22.06,1052,952,1,1
22.08,1053,953,1,1
22.11,1054,954,1,1
22.15,1055,955,1,1
22.18,1056,956,1,1
22.21,1057,957,1,1
22.24,1058,958,1,1
22.27,1059,959,1,1
22.3,1060,960,1,1
22.35,1061,961,1,1
22.38,1062,962,1,1
22.42,1063,963,1,1
22.45,1064,964,1,1
22.48,1065,965,1,1
22.51,1066,966,1,1
22.55,1067,967,1,1
22.58,1068,968,1,1
22.62,1069,969,1,1
22.65,1070,970,1,1
22.67,1071,971,1,1
22.7,1072,972,1,1
22.75,1073,973,1,1
22.78,1074,974,1,1
22.82,1075,975,1,1
22.85,1076,976,1,1
22.89,1077,977,1,1
22.91,1078,978,1,1
22.95,1079,979,1,1
22.98,1080,980,1,1
23.01,1081,981,1,1
23.05,1082,982,1,1
23.07,1083,983,1,1
23.1,1084,984,1,1
23.15,1085,985,1,1
23.18,1086,986,1,1
23.21,1087,987,1,1
23.26,1088,988,1,1
23.28,1089,989,1,1
23.31,1090,990,1,1
23.35,1091,991,1,1
23.38,1092,992,1,1
23.41,1093,993,1,1
23.45,1094,994,1,1
23.47,1095,995,1,1
23.5,1096,996,1,1
23.55,1097,997,1,1
23.59,1098,998,1,1
23.62,1099,999,1,1
23.65,1100,1000,1,1
23.68,1101,1001,1,1
23.72,1102,1002,1,1
23.75,1103,1003,1,1
23.78,1104,1004,1,1
23.8,1105,1005,1,1
23.83,1106,1006,1,1
23.86,1107,1007,1,1
23.9,1108,1008,1,1
23.95,1109,1009,1,1
23.98,1110,1010,1,1
24.01,1111,1011,1,1
24.05,1112,1012,1,1
24.08,1113,1013,1,1
24.11,1114,1014,1,1
24.14,1115,1015,1,1
24.17,1116,1016,1,1
24.21,1117,1017,1,1
24.24,1118,1018,1,1
24.27,1119,1019,1,1
24.3,1120,1020,1,1
24.35,1121,1021,1,1
24.38,1122,1022,1,1
24.42,1123,1023,1,1
24.45,1124,1024,1,1
24.48,1125,1025,1,1
24.51,1126,1026,1,1
24.54,1127,1027,1,1
24.57,1128,1028,1,1
24.6,1129,1029,1,1
24.64,1130,1030,1,1
24.67,1131,1031,1,1
24.7,1132,1032,1,1
24.75,1133,1033,1,1
24.78,1134,1034,1,1
24.81,1135,1035,1,1
24.85,1136,1036,1,1
24.88,1137,1037,1,1
24.91,1138,1038,1,1
24.94,1139,1039,1,1
24.97,1140,1040,1,1
25.0,1141,1041,1,1
25.04,1142,1042,1,1
25.07,1143,1043,1,1
25.1,1144,1044,1,1
25.15,1145,1045,1,1
25.18,1146,1046,1,1
25.22,1147,1047,1,1
25.25,1148,1048,1,1
25.28,1149,1049,1,1
25.31,1150,1050,1,1
25.34,1151,1051,1,1
25.37,1152,1052,1,1
25.4,1153,1053,1,1
25.44,1154,1054,1,1
25.47,1155,1055,1,1
25.5,1156,1056,1,1
25.55,1157,1057,1,1
25.58,1158,1058,1,1
25.62,1159,1059,1,1
25.65,1160,1060,1,1
25.68,1161,1061,1,1
25.71,1162,1062,1,1
25.75,1163,1063,1,1
25.77,1164,1064,1,1
25.8,1165,1065,1,1
25.84,1166,1066,1,1
25.87,1167,1067,1,1
25.9,1168,1068,1,1
25.95,1169,1069,1,1
25.99,1170,1070,1,1
26.02,1171,1071,1,1
26.05,1172,1072,1,1
26.09,1173,1073,1,1
26.11,1174,1074,1,1
26.14,1175,1075,1,1
26.17,1176,1076,1,1
26.21,1177,1077,1,1
26.23,1178,1078,1,1
26.27,1179,1079,1,1
26.3,1180,1080,1,1
26.35,1181,1081,1,1
26.39,1182,1082,1,1
26.42,1183,1083,1,1
26.45,1184,1084,1,1
26.48,1185,1085,1,1
26.51,1186,1086,1,1
26.54,1187,1087,1,1
26.57,1188,1088,1,1
26.6,1189,1089,1,1
26.64,1190,1090,1,1
26.67,1191,1091,1,1
26.7,1192,1092,1,1
26.75,1193,1093,1,1
