Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
195,9.75,0.0832877,-0.08106556,4.7720337,-4.644714,798,1161,138.05728
196,9.8,0.07982133,-0.08390156,4.5734253,-4.807205,818,1176,138.05728
197,9.85,0.07324306,-0.10628889,4.196518,-6.0899043,856,1299,138.05728
198,9.9,0.076894514,-0.11511088,4.4057307,-6.5953674,835,1348,138.05728
199,9.95,0.09079276,-0.0985596,5.2020416,-5.647049,755,1257,138.05728
200,10.0,0.08981431,-0.09124949,5.145981,-5.2282104,760,1217,138.05728
201,10.05,0.09319227,-0.093120895,5.339524,-5.335434,741,1227,138.05728
202,10.1,0.08597643,-0.06643495,4.9260864,-3.806442,783,1081,138.05728
203,10.15,0.08991818,-0.09150382,5.1519322,-5.2427826,760,1218,138.05728
204,10.2,0.08018725,-0.08631598,4.594391,-4.9455414,816,1190,138.05728
205,10.25,0.10200919,-0.086364456,5.844696,-4.9483185,689,1190,138.05728
206,10.3,0.08680068,-0.096563295,4.9733124,-5.532669,778,1246,138.05728
207,10.35,0.08448107,-0.1022803,4.8404083,-5.860229,791,1277,138.05728
208,10.4,0.087717876,-0.10847348,5.0258636,-6.215072,772,1311,138.05728
209,10.45,0.07203025,-0.10954114,4.1270294,-6.2762446,863,1317,138.05728
210,10.5,0.071274176,-0.10240148,4.0837092,-5.8671722,868,1278,138.05728
211,10.55,0.07993478,-0.097914316,4.5799255,-5.610077,794,1280,145.03629
212,10.6,0.08790589,-0.093718775,5.0366364,-5.36969,746,1256,145.03629
213,10.65,0.10090718,-0.10898615,5.781555,-6.244446,666,1344,145.03629
214,10.7,0.10302732,-0.09211129,5.9030304,-5.277588,653,1247,145.03629
215,10.75,0.10032847,-0.048995506,5.7483974,-2.8072355,701,985,137.48875
216,10.8,0.06171956,-0.055965263,3.5362701,-3.2065732,903,1041,145.70416
217,10.85,0.05720017,-0.05363527,3.2773283,-3.0730743,931,1027,145.70416
218,10.9,0.06065083,-0.054457918,3.4750364,-3.1202087,910,1032,145.70416
219,10.95,0.07645377,-0.043680634,4.380478,-2.5027158,813,970,145.70416
220,11.0,0.06706639,-0.033157688,3.8426206,-1.8997954,871,910,145.70416
221,11.05,0.06878759,-0.027851606,3.9412384,-1.5957794,860,879,145.70416
222,11.1,0.059171177,-0.06380615,3.3902586,-3.6558228,919,1086,145.70416
223,11.15,0.06315181,-0.06286259,3.6183317,-3.6017609,895,1080,145.70416
224,11.2,0.067744695,-0.053261094,3.881485,-3.0516357,867,1025,145.70416
225,11.25,0.0622956,-0.060543776,3.569275,-3.4689026,900,1067,145.70416
226,11.3,0.059275843,-0.060233515,3.3962555,-3.451126,918,1065,145.70416
227,11.35,0.03508715,-0.063558735,2.0103455,-3.641647,1066,1084,145.70416
228,11.4,0.05080193,-0.059675846,2.910736,-3.419174,970,1062,145.70416
229,11.45,0.06283223,-0.033777673,3.6000214,-1.935318,897,913,145.70416
230,11.5,0.056694172,-0.036311135,3.2483366,-2.0804746,934,928,145.70416
231,11.55,0.07499648,-0.019320436,4.2969813,-1.1069794,822,830,145.70416
232,11.6,0.067113265,-0.045368284,3.8453066,-2.599411,871,980,145.70416
233,11.65,0.06755641,-0.04569425,3.870697,-2.6180875,868,982,145.70416
234,11.7,0.0848872,-0.026753318,4.863678,-1.532852,762,873,145.70416
235,11.75,0.10926737,-0.04003264,6.2605586,-2.2937012,612,949,145.70416
236,11.8,0.09732789,-0.033769418,5.576477,-1.934845,685,913,145.70416
237,11.85,0.08903374,-0.027578631,5.1012573,-1.580139,736,878,145.70416
238,11.9,0.074167974,-0.044781856,4.2495117,-2.5658112,827,976,145.70416
239,11.95,0.07561993,-0.037862428,4.3327026,-2.1693573,818,937,145.70416
240,12.0,0.08259794,-0.04354961,4.732513,-2.4952087,776,969,145.70416
241,12.05,0.08780256,-0.05939595,5.030716,-3.403137,744,1060,145.70416
242,12.1,0.086841956,-0.011382883,4.9756775,-0.65219116,750,785,145.70416
243,12.15,0.09299439,-0.023524502,5.328186,-1.3478546,712,854,145.70416
244,12.2,0.09074349,-0.007732755,5.1992188,-0.4430542,726,764,145.70416
245,12.25,0.0879485,-0.0027140274,5.0390778,-0.1555023,743,735,145.70416
246,12.3,0.09604664,-0.00054754596,5.503067,-0.03137207,693,723,145.70416
247,12.35,0.0979002,-0.019264774,5.6092677,-1.1037902,682,830,145.70416
248,12.4,0.099879995,-0.005397695,5.722702,-0.30926514,670,750,145.70416
249,12.45,0.08806754,0.011984757,5.045898,0.68667597,742,651,145.70416
250,12.5,0.08977223,0.0071170316,5.14357,0.40777585,732,679,145.70416
251,12.55,0.09833216,-0.026275547,5.6340175,-1.5054779,679,870,145.70416
252,12.6,0.08929233,0.00021704765,5.1160736,0.012435914,735,718,145.70416
253,12.65,0.090923786,-0.0013355754,5.209549,-0.07652283,725,727,145.70416
254,12.7,0.097642146,0.0012500879,5.5944824,0.071624756,683,712,145.70416
255,12.75,0.096849315,-0.013006346,5.5490565,-0.7452087,688,794,145.70416
256,12.8,0.08281606,-0.0010697918,4.7450104,-0.061294556,774,726,145.70416
257,12.85,0.07349366,-0.02678927,4.2108765,-1.534912,831,873,145.70416
258,12.9,0.056058746,-0.026474219,3.2119293,-1.516861,938,871,145.70416
259,12.95,0.062054053,-0.012494488,3.5554352,-0.71588135,901,791,145.70416
260,13.0,0.09275657,0.016809873,5.3145595,0.96313477,680,617,154.24625
261,13.05,0.08123254,0.015100922,4.6542816,0.86521906,812,638,137.48875
262,13.1,0.07688147,0.03943822,4.4049835,2.2596436,837,506,137.48875
263,13.15,0.06430788,-0.020490628,3.68457,-1.1740264,910,830,137.48875
264,13.2,0.09614758,0.028042022,5.5088506,1.6066895,726,568,137.48875
265,13.25,0.09535049,0.032969404,5.46318,1.8890076,730,541,137.48875
266,13.3,0.103296034,0.027215378,5.9184265,1.5593263,684,572,137.48875
267,13.35,0.097975574,-0.011704327,5.6135864,-0.67060846,681,787,145.70416
268,13.4,0.094053,-0.06702777,5.3888397,-3.840408,706,1104,145.70416
269,13.45,0.10542549,-0.0134582855,6.0404353,-0.7711029,636,797,145.70416
270,13.5,0.10081343,-0.001826396,5.776184,-0.104644775,664,730,145.70416
271,13.55,0.09004174,0.0053231264,5.1590114,0.30499268,730,689,145.70416
272,13.6,0.095502555,0.033360887,5.471893,1.911438,729,539,137.48875
273,13.65,0.080279395,0.05218757,4.5996704,2.9901273,816,436,138.05728
274,13.7,0.063397616,-0.01161085,3.6324155,-0.6652526,913,783,138.05728
275,13.75,0.076166146,-0.018645057,4.3639984,-1.0682831,840,821,138.05728
276,13.8,0.07728094,0.033621345,4.427871,1.9263611,833,537,138.05728
277,13.85,0.074439354,4.101268e-05,4.2650604,0.0023498535,850,719,138.05728
278,13.9,0.08330847,0.0040104543,4.773224,0.22978209,798,698,138.05728
279,13.95,0.08540411,0.023168704,4.893295,1.3274689,786,594,138.05728
280,14.0,0.10975153,0.031977907,6.288299,1.832199,644,546,138.05728
281,14.05,0.10565479,0.02811659,6.053573,1.6109618,668,567,138.05728
282,14.1,0.100378536,0.027408456,5.751266,1.5703888,699,571,138.05728
283,14.15,0.10051702,0.029922744,5.7592006,1.7144469,698,557,138.05728
284,14.2,0.10048693,0.033382725,5.7574763,1.9126891,698,538,138.05728
285,14.25,0.09909277,0.035250135,5.677597,2.0196838,675,517,145.70416
286,14.3,0.10372134,0.02944098,5.942795,1.6868439,646,551,145.70416
287,14.35,0.10139533,0.0062792017,5.809524,0.35977173,660,684,145.70416
288,14.4,0.09428017,0.025744513,5.4018555,1.4750519,704,572,145.70416
289,14.45,0.112767026,0.01655208,6.4610744,0.94836426,590,625,145.70416
290,14.5,0.08882494,0.027558658,5.089294,1.5789948,738,561,145.70416
291,14.55,0.09108064,0.020199012,5.2185364,1.1573181,724,604,145.70416
292,14.6,0.095689245,0.0196014,5.4825897,1.1230774,695,607,145.70416
293,14.65,0.095275655,-0.0034147054,5.458893,-0.1956482,698,739,145.70416
294,14.7,0.09429801,0.020987041,5.402878,1.2024689,704,599,145.70416
295,14.75,0.10204062,0.016356604,5.8464966,0.9371643,656,626,145.70416
296,14.8,0.111261286,0.018669559,6.3748016,1.0696869,600,612,145.70416
297,14.85,0.10612671,0.025174597,6.080612,1.4423981,631,575,145.70416
298,14.9,0.100107424,0.021016337,5.7357326,1.2041473,668,599,145.70416
299,14.95,0.114837915,0.013917148,6.5797276,0.7973938,614,644,138.24837
300,15.0,0.12044066,0.026165027,6.900741,1.4991455,581,577,138.24837
301,15.05,0.1162081,0.013722204,6.658233,0.7862243,606,645,138.24837
302,15.1,0.11145596,0.023882164,6.385956,1.3683472,598,583,145.70416
303,15.15,0.09609005,0.015847674,5.5055537,0.90800476,693,629,145.70416
304,15.2,0.10266699,0.024333306,5.882385,1.3941957,653,580,145.70416
305,15.25,0.107909426,0.037472807,6.1827545,2.1470335,620,505,145.70416
306,15.3,0.109728634,0.0418862,6.2869873,2.3999023,609,479,145.70416
307,15.35,0.09894735,0.05204296,5.6692653,2.9818418,675,421,145.70416
308,15.4,0.11467279,0.04321112,6.5702662,2.4758148,615,485,138.05728
309,15.45,0.10716933,0.054033678,6.14035,3.0959015,659,426,138.05728
310,15.5,0.10515758,0.056234248,6.025085,3.2219849,671,414,138.05728
311,15.55,0.07883517,0.02179824,4.516922,1.2489471,824,601,138.05728
312,15.6,0.109145395,0.0538627,6.25357,3.086105,648,427,138.05728
313,15.65,0.10886843,0.039713323,6.237701,2.2754056,649,504,138.05728
314,15.7,0.1091153,0.042599395,6.251846,2.4407654,648,488,138.05728
315,15.75,0.10487955,0.047572847,6.0091553,2.7257233,673,461,138.05728
316,15.8,0.10092555,0.052676264,5.7826076,3.0181274,696,433,138.05728
317,15.85,0.10842022,0.059651613,6.212021,3.4177854,652,395,138.05728
318,15.9,0.088665955,0.045276668,5.080185,2.5941617,767,473,138.05728
319,15.95,0.07483856,0.034528684,4.2879333,1.9783478,847,532,138.05728
320,16.0,0.0751901,0.03172757,4.308075,1.8178558,845,547,138.05728
321,16.05,0.08805023,0.05654051,5.044906,3.2395325,771,412,138.05728
322,16.1,0.07967566,0.05770298,4.5650787,3.306137,819,406,138.05728
323,16.15,0.070416644,0.048725463,4.0345764,2.7917633,873,455,138.05728
324,16.2,0.08757326,0.03511085,5.017578,2.0117035,773,529,138.05728
325,16.25,0.07388355,0.02670192,4.2332153,1.5299072,853,574,138.05728
326,16.3,0.11694793,0.050884485,6.700622,2.915466,602,443,138.05728
327,16.35,0.11779907,0.062337145,6.749389,3.571655,597,380,138.05728
328,16.4,0.11697084,0.06582482,6.701935,3.7714844,602,361,138.05728
329,16.45,0.08479772,0.057546116,4.858551,3.2971494,789,407,138.05728
330,16.5,0.07141693,0.035240278,4.0918884,2.019119,867,528,138.05728
331,16.55,0.06022606,0.017637318,3.4506989,1.0105438,932,624,138.05728
332,16.6,0.05784013,0.049718555,3.3139951,2.8486633,946,449,138.05728
333,16.65,0.081590205,0.048549958,4.674774,2.7817075,808,456,138.05728
334,16.7,0.08851416,0.04714381,5.0714874,2.701141,768,463,138.05728
335,16.75,0.08510717,0.04777631,4.8762813,2.737381,788,460,138.05728
336,16.8,0.07791344,0.055333033,4.464111,3.1703491,829,419,138.05728
337,16.85,0.04571982,0.036909018,2.6195526,2.1147308,1016,519,138.05728
338,16.9,0.07986607,0.05884228,4.5759883,3.371414,818,400,138.05728
339,16.95,0.07009867,0.057398047,4.0163574,3.2886658,875,407,138.05728
340,17.0,0.06174832,0.05240169,3.5379179,3.0023956,923,435,138.05728
341,17.05,0.077012494,0.051000334,4.412491,2.9221036,835,442,138.05728
342,17.1,0.06433266,0.062535554,3.6859896,3.583023,908,379,138.05728
343,17.15,0.08280913,0.07599783,4.744613,4.354355,801,306,138.05728
344,17.2,0.0822014,0.07011677,4.709793,4.017395,804,338,138.05728
345,17.25,0.08491623,0.06298856,4.865341,3.6089783,789,377,138.05728
346,17.3,0.08348611,0.06132328,4.7834015,3.513565,797,386,138.05728
347,17.35,0.08513114,0.056852896,4.8776546,3.2574308,787,410,138.05728
348,17.4,0.071945295,0.07116739,4.1221614,4.0775905,864,332,138.05728
349,17.45,0.060540847,0.0762455,3.4687347,4.368545,930,305,138.05728
350,17.5,0.06355474,0.06645866,3.6414182,3.8078003,913,358,138.05728
351,17.55,0.06471508,0.058957327,3.7079008,3.3780057,906,399,138.05728
352,17.6,0.0692808,0.063941166,3.9694974,3.6635587,879,372,138.05728
353,17.65,0.069812104,0.061487596,3.9999387,3.5229795,876,385,138.05728
354,17.7,0.07100254,0.058880094,4.0681458,3.3735807,869,399,138.05728
355,17.75,0.065771826,0.06333051,3.7684479,3.6285706,900,375,138.05728
356,17.8,0.06920011,0.059681706,3.9648743,3.4195096,880,395,138.05728
357,17.85,0.062243935,0.06993381,3.5663145,4.0069118,920,339,138.05728
358,17.9,0.045022603,0.0663753,2.579605,3.8030243,1020,358,138.05728
359,17.95,0.07894568,0.064394705,4.523254,3.6895447,823,369,138.05728
360,18.0,0.08443846,0.03665575,4.837967,2.1002197,1279,719,0.0
361,18.05,0.09882086,0.065684475,5.662018,3.763443,708,362,138.05728
362,18.1,0.074104324,0.036824327,4.245865,2.1098783,851,519,138.24837
363,18.15,0.06079997,0.037666418,3.4835815,2.1581266,928,515,138.24837
364,18.2,0.08707312,0.06835589,4.9889216,3.9165037,776,347,138.24837
365,18.25,0.07019933,0.0505966,4.0221252,2.8989713,1279,719,0.0
366,18.3,0.07996408,0.044895038,4.581604,2.5722961,1279,719,0.0
367,18.35,0.071444094,0.08797646,4.093445,5.04068,867,240,138.05728
368,18.4,0.065177135,0.093347,3.7343745,5.3483887,903,211,138.05728
369,18.45,0.0629779,0.038451787,3.608368,2.203125,916,511,138.05728
370,18.5,0.079221055,0.0375314,4.539032,2.1503906,796,504,145.92883
371,18.55,0.062054317,0.060075857,3.5554502,3.442093,921,393,138.05728
372,18.6,0.05377215,0.09715266,3.0809171,5.566437,969,190,138.05728
373,18.65,0.10328405,0.08103653,5.91774,4.643051,682,278,138.05728
374,18.7,0.063062325,0.049896456,3.613205,2.8588562,917,449,137.48875
375,18.75,0.10436715,0.08385283,5.979797,4.804413,676,263,138.05728
376,18.8,0.079261534,0.08184853,4.5413513,4.689575,796,249,145.70416
377,18.85,0.0813183,0.07973478,4.659195,4.568466,809,285,138.24837
378,18.9,0.087283775,0.07522205,5.000992,4.309906,774,310,138.24837
379,18.95,0.08062055,0.055997487,4.619217,3.2084196,788,398,145.70416
380,19.0,0.07582499,0.049292184,4.344452,2.824234,841,451,138.24837
381,19.05,0.08429278,0.07272081,4.82962,4.1665955,792,323,138.24837
382,19.1,0.063201606,0.06767359,3.621185,3.8774107,894,331,145.70416
383,19.15,0.07079721,0.09307109,4.056381,5.33258,870,212,138.24837
384,19.2,0.12348333,0.08822227,7.0750732,5.054764,563,238,138.24837
385,19.25,0.08604727,0.09528205,4.9301453,5.459259,781,200,138.24837
386,19.3,0.1014976,0.08422833,5.815384,4.8259277,692,261,138.05728
387,19.35,0.1059219,0.081181675,6.0688777,4.651367,667,278,138.05728
388,19.4,0.06183567,0.0995511,3.5429227,5.7038574,923,177,138.05728
